storeId,url,additionalAttributes,breadcrumbs,id
,,,baby products > bathing & skin care > washcloths & towels > bath & hooded towels,8589934592
,,, online shopping  >  home & garden  >  art gallery  >  contemporary art  >  canvas ,8589934593
,,,home goods > kitchen & dining > table linens & decor > kitchen aprons,8589934594
,,,11320,8589934595
,,,tools & home improvement > kitchen & bath fixtures > bathroom fixtures > bathtub faucets & showerheads > showerheads > handheld showerheads,8589934596
,,,best buy > cameras & camcorders > digital camera accessories > camera lenses > dslr lenses > short-range zoom lenses,8589934597
,,,clothing > boys > boys' jackets & outerwear,8589934598
,,, target  >  clothing  >  women's clothing  >  plus size clothing  >  plus size sleepwear ,8589934599
,,,"target > sports, fitness & outdoors > fan shop > home > bedding",8589934600
,,,toys & games,8589934601
,,,target > shoes > women's shoes > sandals > flip flops,8589934602
,,, online shopping  >  home & garden  >  art gallery  >  inspirational  >  canvas ,8589934603
,,, home  >  decor  >  curtains & window coverings  >  window blinds ,8589934604
,,,best buy > health fitness & beauty > personal care & beauty > hair care > hair dryers,8589934605
,,, patio & garden  >  gardening & lawn care  >  pots & planters ,8589934606
,,,office products > office & school supplies > printer ink & toner > laser printer drums & toner,8589934607
,,,target > clearance > clothing & accessories > baby & toddler boys' clothing,8589934608
,,,best buy > cell phones > cell phone accessories > cell phone cases & clips,8589934609
,,,home improvement > hardware > cabinet hardware > cabinet hardware,8589934610
,,,best buy > computers & tablets > ipad & tablet accessories > stylus pens,8589934611
,,,clothing & shoes > accessories > hats > women's hats,8589934612
,,,beauty > fragrances > all fragrances,8589934613
26,https://www.overstock.com/Books-Movies-Music-Games/The-Local-Information-Dynamics-of-Distributed-Computation-in-Complex-Systems-Paperback/9726081/product.html,"Format=Paperback;Copyright Year=2013;Series Name=Springer Theses;Publisher Date=2014-12-14 00:00:00.0;Audience=College/higher education;Language=English;Height=9.3 in;Wdth=6.2 in;Authors=Lizier, Joseph T.;Publisher=Springer Verlag;Country of Origin=United States;Genre=TECHNOLOGY & ENGINEERING / General",books & media > books > science books > general science,8589934614
,,, jewelry & watches  >  jewelry  >  wedding rings  >  men's wedding bands  >  bridal symphony ,8589934615
,,, online shopping  >  clothing & shoes  >  shoes  >  women's shoes  >  heels ,8589934616
,,,target > home > home decor > rugs > area rugs,8589934617
,,,tools & home improvement > electrical > breakers load centers & fuses > fuses > fuse blocks & fuse holders > fuse holders,8589934618
,,,health & household > vitamins & dietary supplements > herbal supplements > garlic,8589934619
,,,home improvement > bathroom renovation > bathroom fixtures and materials > bathroom faucets > all bathroom faucets,8589934620
24,https://www.amazon.com/dp/1520591861?psc=1,"author=Visit Amazon's R.S. Mollison-Read Pagesearch resultsLearn about Author CentralR.S. Mollison-Read;Series=Elden Forest Series Book 1;edition=Paperback;ISBN-13=978-1520591865;Product Dimensions=5.2 x 0.4 x 8 inches;Language=English;Average Customer Review=3.9 out of 5 stars 4 customer reviews;ISBN-10=1520591861;Shipping Weight=8.2 ounces View shipping rates and policies;Publisher=Independently published February 22, 2017;Amazon Best Sellers Rank=#4,795,564 in Books See Top 100 in Books #27486 in Books > Literature & Fiction > Genre Fiction > Coming of Age #43066 in Books > Children's Books > Science Fiction & Fantasy > Fantasy & Magic;Paperback=150 pages",books > literature & fiction > genre fiction > coming of age,8589934621
