,storeId,url,additionalAttributes,breadcrumbs,id,predicted_lables
0,,,,baby products > bathing & skin care > washcloths & towels > bath & hooded towels,8589934592,rest
1,,,, online shopping  >  home & garden  >  art gallery  >  contemporary art  >  canvas ,8589934593,rest
2,,,,home goods > kitchen & dining > table linens & decor > kitchen aprons,8589934594,rest
3,,,,11320,8589934595,rest
4,,,,tools & home improvement > kitchen & bath fixtures > bathroom fixtures > bathtub faucets & showerheads > showerheads > handheld showerheads,8589934596,rest
5,,,,best buy > cameras & camcorders > digital camera accessories > camera lenses > dslr lenses > short-range zoom lenses,8589934597,rest
6,,,,clothing > boys > boys' jackets & outerwear,8589934598,rest
7,,,, target  >  clothing  >  women's clothing  >  plus size clothing  >  plus size sleepwear ,8589934599,rest
8,,,,"target > sports, fitness & outdoors > fan shop > home > bedding",8589934600,rest
9,,,,toys & games,8589934601,rest
10,,,,target > shoes > women's shoes > sandals > flip flops,8589934602,rest
11,,,, online shopping  >  home & garden  >  art gallery  >  inspirational  >  canvas ,8589934603,rest
12,,,, home  >  decor  >  curtains & window coverings  >  window blinds ,8589934604,rest
13,,,,best buy > health fitness & beauty > personal care & beauty > hair care > hair dryers,8589934605,rest
14,,,, patio & garden  >  gardening & lawn care  >  pots & planters ,8589934606,rest
15,,,,office products > office & school supplies > printer ink & toner > laser printer drums & toner,8589934607,rest
16,,,,target > clearance > clothing & accessories > baby & toddler boys' clothing,8589934608,rest
17,,,,best buy > cell phones > cell phone accessories > cell phone cases & clips,8589934609,rest
18,,,,home improvement > hardware > cabinet hardware > cabinet hardware,8589934610,rest
19,,,,best buy > computers & tablets > ipad & tablet accessories > stylus pens,8589934611,rest
20,,,,clothing & shoes > accessories > hats > women's hats,8589934612,rest
21,,,,beauty > fragrances > all fragrances,8589934613,rest
22,26,https://www.overstock.com/Books-Movies-Music-Games/The-Local-Information-Dynamics-of-Distributed-Computation-in-Complex-Systems-Paperback/9726081/product.html,"Format=Paperback;Copyright Year=2013;Series Name=Springer Theses;Publisher Date=2014-12-14 00:00:00.0;Audience=College/higher education;Language=English;Height=9.3 in;Wdth=6.2 in;Authors=Lizier, Joseph T.;Publisher=Springer Verlag;Country of Origin=United States;Genre=TECHNOLOGY & ENGINEERING / General",books & media > books > science books > general science,8589934614,books
23,,,, jewelry & watches  >  jewelry  >  wedding rings  >  men's wedding bands  >  bridal symphony ,8589934615,rest
24,,,, online shopping  >  clothing & shoes  >  shoes  >  women's shoes  >  heels ,8589934616,rest
25,,,,target > home > home decor > rugs > area rugs,8589934617,rest
26,,,,tools & home improvement > electrical > breakers load centers & fuses > fuses > fuse blocks & fuse holders > fuse holders,8589934618,rest
27,,,,health & household > vitamins & dietary supplements > herbal supplements > garlic,8589934619,rest
28,,,,home improvement > bathroom renovation > bathroom fixtures and materials > bathroom faucets > all bathroom faucets,8589934620,rest
29,24,https://www.amazon.com/dp/1520591861?psc=1,"author=Visit Amazon's R.S. Mollison-Read Pagesearch resultsLearn about Author CentralR.S. Mollison-Read;Series=Elden Forest Series Book 1;edition=Paperback;ISBN-13=978-1520591865;Product Dimensions=5.2 x 0.4 x 8 inches;Language=English;Average Customer Review=3.9 out of 5 stars 4 customer reviews;ISBN-10=1520591861;Shipping Weight=8.2 ounces View shipping rates and policies;Publisher=Independently published February 22, 2017;Amazon Best Sellers Rank=#4,795,564 in Books See Top 100 in Books #27486 in Books > Literature & Fiction > Genre Fiction > Coming of Age #43066 in Books > Children's Books > Science Fiction & Fantasy > Fantasy & Magic;Paperback=150 pages",books > literature & fiction > genre fiction > coming of age,8589934621,books
30,23,http://www.walmart.com/ip/38310660,"Contributed by=Lane, Christopher;Format=CD/Spoken Word;ISBN-13=9781491509234;Publish Date=Oct 2014;ISBN-10=1491509236;Publisher=Brilliance Audio Lib Edn",books > literature & fiction > general,8589934622,books
31,,,, home & garden  >  art gallery  >  canvas art  >  gallery wrapped canvas ,8589934623,rest
32,,,,clothing shoes & jewelry > women > clothing > jumpsuits rompers & overalls,8589934624,rest
33,,,, online shopping  >  worldstock fair trade  >  home decor  >  decorative accessories  >  tapestries ,8589934625,rest
34,,,,personal care > hair care > hair brushes & styling accessories,8589934626,rest
35,,,,target > shoes > toddler girls' shoes > sneakers,8589934627,rest
36,,,, online shopping  >  health & beauty  >  beauty products  >  skin care  >  body lotions & moisturizers ,8589934628,rest
37,,,,food > candy & gum > chocolate > candy & gum > candy & gum > chocolate,8589934629,rest
38,23,https://www.walmart.com/ip/Steve-Spurgin-Past-Perfect-CD/29193666,Assembled Product Weight=0.15 Pounds;Record Label=CD BABY.COM/INDYS;Release Date=08/10/2012;Performer=Steve Spurgin;1.=Track Listing Not Available At This Time,music on cd or vinyl > folk music on cd or vinyl > traditional folk music on cd or vinyl,8589934630,music
40,,,,best buy > computers & tablets > computer accessories & peripherals > laptop accessories > cables chargers & adapters,8589934632,rest
41,,,,clothing & shoe store > accessories > hats > men's hats,8589934633,rest
42,,,,arts crafts & sewing > knitting & crochet > knitting needles,8589934634,rest
43,26,https://www.overstock.com/Books-Movies-Music-Games/A-Daughters-Inheritance-Large-Print-Book/3844818/product.html,"Format=Hardcover;Series Volume Number=1;Copyright Year=2009;Series Name=The Broadmoor Legacy: Thorndike Press Large Print Christian Romance Series;Publisher Date=2009-04-15 00:00:00.0;Pages=531;Audience=College/higher education;Thickness=1.0 in;Language=English;Edition Detail=Large Print;Height=8.75 in;Unit weight=1.5 lb;Wdth=5.75 in;Authors=Peterson, Tracie;Publisher=Thorndike Pr;Country of Origin=United States;Genre=FICTION / Christian / Historical",books & media > books > fiction books > fiction & literature,8589934635,books
44,,,,patio lawn & garden > outdoor dÌ©cor > garden sculptures & statues > outdoor statues,8589934636,rest
45,,,,home & kitchen > event & party supplies,8589934637,rest
46,23,http://www.walmart.com/ip/20675770,Format=Hardcover;Number of Pages=260;ISBN-13=9781594487156;Publish Date=Dec 2012;ISBN-10=1594487154;Publisher=Penguin Group USA,books > business & investing > sales techniques,8589934638,books
47,,,,home improvement > work safety clothing and equipment > safety equipment & gear,8589934639,rest
48,24,http://www.amazon.com/dp/B003VADRRY?psc=1,"Writers=Jay Cipriani;Format=Multiple Formats, Color, NTSC, Widescreen;Run Time=95 minutes;Number of discs=1;Region=Region 1 U.S. and Canada only. Read more about DVD formats.;DVD Release Date=October 12, 2010;Language=English;Average Customer Review=4.4 out of 5 stars See all reviews 102 customer reviews;Studio=Gaiam - Entertainment;ASIN=B003VADRRY;Amazon Best Sellers Rank=#71,959 in Movies & TV See Top 100 in Movies & TV #8968 in Movies & TV > DVD > Kids & Family;Actors=Andrea Roth, Nicholas Brendon, Sam Cohen, Kristi Culbert, Bruce Davison;Directors=John Murlowski;Rated=G General Audience",movies & tv > genre for featured categories > kids & family > movies & tv > holidays & seasonal > christmas > movies & tv > movies > movies & tv > studio specials,8589934640,videos
49,,,, online shopping  >  electronics  >  home theater & audio  >  car audio & video  >  car a v accessories ,8589934641,rest
50,,,, online shopping  >  clothing & shoes  >  shoes  >  women's shoes  >  wedges  >  clarks ,8589934642,rest
51,,,, online shopping  >  home & garden  >  furniture  >  bedroom furniture  >  beds ,8589934643,rest
52,,,,"arts, crafts & sewing > sewing > patterns",8589934644,rest
53,,,,best buy > computers & tablets > computer cards & components > memory ram  > desktop memory,8589934645,rest
54,,,,best buy > audio & mp3 > headphones > earbud & in-ear headphones,8589934646,rest
55,,,,target > clothing > women's clothing > tops > tees & tanks,8589934647,rest
56,,,, online shopping  >  jewelry & watches  >  jewelry  >  necklaces  >  pearl necklaces ,8589934648,rest
58,,,,jewelry & watch store > jewelry store > men's jewelry > men's bracelets,8589934650,rest
59,,,,best buy > computers & tablets > computer cards & components > gpus video graphics cards > pci express graphics cards,8589934651,rest
60,,,,best buy > computers & tablets > ipad tablet & e-reader accessories > tablet accessories > tablet docks keyboards & stands,8589934652,rest
61,,,,target > clothing > women's clothing > juniors > juniors' tops,8589934653,rest
63,,,, online shopping  >  jewelry & watches  >  jewelry  >  wedding rings  >  engagement rings ,8589934655,rest
