trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 0.9950124791926823}",30,5,-90.84073006328417,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",1
2,False,"{'a': 0.005, 'e': 0.9900498337491681}",25,0,-148.59042224544405,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.005, 'e': 0.9851119396030626}",20,0,-106.67971968385115,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.005, 'e': 0.9801986733067553}",30,14,-42.79634321348851,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 0}",1
5,False,"{'a': 0.005, 'e': 0.9753099120283326}",25,6,-53.03455681748198,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 0}",1
6,False,"{'a': 0.005, 'e': 0.9704455335485082}",25,0,-117.84886023017899,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
7,False,"{'a': 0.005, 'e': 0.9656054162575665}",25,0,-172.8520476664937,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
8,False,"{'a': 0.005, 'e': 0.9607894391523232}",25,7,-63.50434107106281,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 0}",1
9,False,"{'a': 0.005, 'e': 0.9559974818331}",20,11,-2.074583513681686,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.005, 'e': 0.951229424500714}",25,0,-111.28499835352007,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
11,False,"{'a': 0.005, 'e': 0.9464851479534838}",25,0,-85.68840725545878,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.005, 'e': 0.9417645335842487}",25,0,-135.23684715471614,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.005, 'e': 0.9370674633774034}",20,0,-139.90800717179883,"{0: 13, 1: 1, 2: 1, 3: 3, 4: 2}",0
14,False,"{'a': 0.005, 'e': 0.9323938199059483}",20,0,-83.13917097386029,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.005, 'e': 0.9277434863285529}",20,0,-145.8590463612683,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.005, 'e': 0.9231163463866358}",20,0,-71.08455823430927,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.005, 'e': 0.9185122844014574}",20,13,-21.568393240837963,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
18,False,"{'a': 0.005, 'e': 0.9139311852712282}",20,0,-91.4394874960744,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.005, 'e': 0.9093729344682314}",30,0,-156.0403862171125,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
20,False,"{'a': 0.005, 'e': 0.9048374180359595}",30,0,-102.71990159881486,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
21,False,"{'a': 0.005, 'e': 0.9003245225862656}",30,0,-249.89210458546333,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 5}",0
22,False,"{'a': 0.005, 'e': 0.8958341352965282}",30,0,-59.92785342929298,"{0: 19, 1: 6, 2: 5, 3: 0, 4: 0}",0
23,False,"{'a': 0.005, 'e': 0.8913661439068313}",35,0,-77.56730131537181,"{0: 23, 1: 5, 2: 6, 3: 1, 4: 0}",0
24,False,"{'a': 0.005, 'e': 0.8869204367171575}",25,0,-98.93207916424477,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
25,False,"{'a': 0.005, 'e': 0.8824969025845955}",25,11,-20.692551353951156,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
26,False,"{'a': 0.005, 'e': 0.8780954309205613}",25,0,-159.04458809773396,"{0: 13, 1: 2, 2: 6, 3: 3, 4: 1}",0
27,False,"{'a': 0.005, 'e': 0.8737159116880344}",25,0,-145.8233004985208,"{0: 15, 1: 5, 2: 2, 3: 0, 4: 3}",0
28,False,"{'a': 0.005, 'e': 0.8693582353988059}",20,0,-101.63278039695761,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
29,False,"{'a': 0.005, 'e': 0.8650222931107413}",20,0,-160.50612994574513,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
30,False,"{'a': 0.005, 'e': 0.8607079764250578}",25,2,-46.59587292012442,"{0: 16, 1: 4, 2: 1, 3: 2, 4: 0}",1
31,False,"{'a': 0.005, 'e': 0.8564151774836135}",25,0,-72.60486192910314,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
32,False,"{'a': 0.005, 'e': 0.8521437889662113}",20,1,-121.8916150105859,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 1}",1
33,False,"{'a': 0.005, 'e': 0.8478937040879159}",20,0,-54.27258657103049,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
34,False,"{'a': 0.005, 'e': 0.8436648165963837}",25,0,-152.66343766784075,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
35,False,"{'a': 0.005, 'e': 0.8394570207692074}",25,0,-24.472717548702473,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
36,False,"{'a': 0.005, 'e': 0.835270211411272}",25,0,-44.74180522361524,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
37,False,"{'a': 0.005, 'e': 0.8311042838521256}",20,0,-73.6218782752837,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
38,False,"{'a': 0.005, 'e': 0.8269591339433623}",20,11,-38.266336309098556,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 1}",1
39,False,"{'a': 0.005, 'e': 0.8228346580560184}",25,3,-27.923923774086173,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 0}",1
40,False,"{'a': 0.005, 'e': 0.8187307530779818}",30,0,-164.92808594730903,"{0: 20, 1: 3, 2: 3, 3: 1, 4: 3}",0
41,False,"{'a': 0.005, 'e': 0.8146473164114145}",20,0,-59.880099744766916,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
42,False,"{'a': 0.005, 'e': 0.8105842459701871}",30,0,-250.3659857037618,"{0: 15, 1: 3, 2: 5, 3: 4, 4: 3}",0
43,False,"{'a': 0.005, 'e': 0.8065414401773269}",25,0,-140.15885125611234,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
44,False,"{'a': 0.005, 'e': 0.8025187979624785}",20,0,-92.76511958482713,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
45,False,"{'a': 0.005, 'e': 0.7985162187593771}",25,17,-4.108276150869472,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.005, 'e': 0.794533602503334}",25,0,-158.67499361209406,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
47,False,"{'a': 0.005, 'e': 0.7905708496287356}",30,0,-131.49407430692952,"{0: 21, 1: 0, 2: 6, 3: 1, 4: 2}",0
48,False,"{'a': 0.005, 'e': 0.7866278610665535}",20,0,-154.61000488531155,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
49,False,"{'a': 0.005, 'e': 0.7827045382418681}",25,0,-105.89453866587469,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
