trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-172.6313528575245,"{0: 17, 1: 4, 2: 4, 3: 3, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-279.8928136615681,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 5}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.66090223792433,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-235.27841596220043,"{0: 16, 1: 1, 2: 7, 3: 3, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-166.34078529685138,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-223.5927997016354,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 5}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-115.80001138648008,"{0: 25, 1: 2, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,1,-109.81011053905658,"{0: 14, 1: 2, 2: 4, 3: 4, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-210.59997542970655,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.90636313811541,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-115.72223825981467,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-55.35567208069387,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.76238147991518,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-153.24314912022152,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.5786928359364,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.96293044356236,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.62722780545285,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-36.13185556311274,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,6,-143.241965641703,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 3}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.20144337427128,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-89.24172425505402,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-110.95039135285326,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-113.2167771654674,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-125.73278856309824,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-196.56286514685632,"{0: 15, 1: 2, 2: 10, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-140.9995348943052,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-95.49767463115955,"{0: 18, 1: 2, 2: 9, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-175.51413643260315,"{0: 17, 1: 6, 2: 4, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",35,0,-246.4587903712784,"{0: 16, 1: 3, 2: 11, 3: 3, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-69.51608386396543,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
